# XES calibration: ,configuration file,xes_calib_Ka.param,,,
emiss_calib,emiss,spectrum_ph,spectrum_norm,FF_sum,FF_sum_calib
6385.20075053337,6383.25,963.525238516343,0.00552386266135178,960.02527,961.573226559993
6384.94822592977,6383,853.177324059935,0.00467281862230006,850.02226,851.448866650748
6384.69565733261,6382.75,842.195866275165,0.00458571227156426,839.022,840.48965627169
6384.44304474188,6382.5,777.547725887933,0.00408601122583429,774.02106,775.433804226427
6384.1903881576,6382.25,642.649571427593,0.00304622135808048,640.01633,641.236317116358
6383.93768757974,6382,586.875563535155,0.00261474449850445,584.01491,585.178376524533
6383.68494300833,6381.75,602.799731139714,0.00273448912115385,600.01534,601.265301912063
6383.43215444335,6381.5,548.505114355273,0.00231438501836792,546.01398,547.203892976772
6383.17932188481,6381.25,492.383305101044,0.00188023283058794,490.01254,491.129941346011
6382.9264453327,6381,495.708500950805,0.00190311403760877,493.01255,494.189103870235
6382.67352478703,6380.75,418.113672991724,0.00130387443891983,416.01034,417.049362894727
6382.42056024779,6380.5,441.665415158677,0.00148225819908181,439.01121,440.158673404781
6382.16755171499,6380.25,427.632070274225,0.00137168400091249,425.01083,426.173203282443
6381.91449918862,6380,391.919521611307,0.00109443768945516,390.00966,391.125529340497
6381.6614026687,6379.75,357.103825066536,0.000824085990033281,355.0088,356.07111556046
6381.40826215521,6379.5,300.864582837983,0.000389027699489855,299.006923,299.942402225921
6381.15507764815,6379.25,350.219994060436,0.000765790027948465,348.00858,349.146534082421
6380.90184914754,6379,300.846579782151,0.000383515899630841,299.007196,300.028667156833
6380.64857665336,6378.75,303.115183382964,0.000398269730265527,301.00725,302.0811058044
6380.39526016561,6378.5,271.074020049807,0.000149246554891621,269.006648,270.008401460713
6380.1418996843,6378.25,255.821404772699,2.92947631030852e-05,254.006093,254.992978016329
6379.88849520942,6378,236.765707626957,-0.000119895927085065,235.005811,235.95798131349
6379.63504674098,6377.75,258.012177065837,4.07595565235648e-05,256.006136,257.087280896501
6379.38155427898,6377.5,257.13868611386,3.13543508135454e-05,255.00593,256.127848690754
6379.12801782342,6377.25,246.091440196356,-5.62680545811947e-05,244.006223,245.124030581661
6378.87443737429,6377,239.87545055748,-0.000106747798885241,238.0055,239.140207852183
6378.6208129316,6376.75,199.702711012739,-0.00041829052289352,198.00491,198.986836767879
6378.36714449534,6376.5,213.078017249479,-0.000318151575941264,211.004897,212.092766828569
6378.11343206552,6376.25,196.720590830223,-0.000446600988452712,195.00479,196.049478449942
6377.85967564214,6376,184.748704070466,-0.000541334448877032,183.00423,184.022438774617
6377.60587522519,6375.75,188.013257855598,-0.000518929266283919,186.00451,187.07877674382
6377.35203081467,6375.5,169.825420463167,-0.000661452441533758,168.004047,169.010751880969
6377.0981424106,6375.25,208.139103503833,-0.000369587370061671,206.00476,207.284838713982
6376.84421001295,6375,190.061269524539,-0.000511265762893148,188.004514,189.215364602757
